"Completed status","Employee status","Employee email","Completion Grade","Employee department","Course Name","Course Credits",Username,"Course Category","Credit Category","Learnig Type","Enrollment Date","Completion Date"
In-Progress,Active,christopher@mailinator.com,10,--,php32,100,christopher,"Behavioural skills",Leadership,Learning,21-09-2018,12-09-2024
In-Progress,Active,lisa@mailinator.com,9,--,php31,100,lisa,Technical,Technical,Learning,21-09-2018,12-09-2024
In-Progress,Active,lisa@mailinator.com,9,--,php30,100,lisa,Technical,Technical,Learning,21-09-2018,12-09-2024
In-Progress,Active,rahul.desai@mailinator.com,E2,--,testcourse11,10,rahul.desai@mailinator.com,"Fractal Overview",Leadership,"23/24 WHITE LILY APTS (6TH FLR) D S BABAREKAR MARG",06-09-2016,12-09-2024
In-Progress,Active,lisa@mailinator.com,9,--,php19,100,lisa,"Behavioural skills",Leadership,Learning,21-09-2018,12-09-2024
In-Progress,Active,lisa@mailinator.com,9,--,php18,100,lisa,"Behavioural skills",Leadership,Learning,21-09-2018,12-09-2024
In-Progress,Active,lisa@mailinator.com,9,--,php17,100,lisa,"Behavioural skills",Leadership,Learning,21-09-2018,12-09-2024
In-Progress,Active,lisa@mailinator.com,9,--,php15,100,lisa,"Behavioural skills",Leadership,Learning,21-09-2018,12-09-2024
In-Progress,Active,pragyap12@mailinator.com,P2,FAA,php11,100,prag,"Behavioural skills",Leadership,Learning,21-09-2018,12-09-2024
In-Progress,Active,pragyap12@mailinator.com,P2,FAA,php10,100,prag,"Behavioural skills",Leadership,Learning,21-09-2018,12-09-2024
In-Progress,Active,pragyap12@mailinator.com,P2,FAA,dot22,100,prag,Consulting,Leadership,Learning,24-09-2018,12-09-2024
In-Progress,Active,pragyap12@mailinator.com,P2,FAA,dot21,100,prag,"Behavioural skills",Leadership,Learning,24-09-2018,12-09-2024
In-Progress,Active,krishna.prasad@mailinator.com,A4,--,testcourse_31,10,krishna.prasad@mailinator.com,"Behavioural skills",Leadership,1,19-12-2018,12-09-2024
In-Progress,Active,ashish.tyagi@mailinator.com,P4,--,Testcourse29_1,250,ashish.tyagi@mailinator.com,"Behavioural skills",Leadership,-,31-01-2019,12-09-2024
